index,MovieID,Title,Lifetime Gross,Year,Studio,Rating,Runtime,Budget,ReleaseDate,VoteAvg,VoteCount,FranchiseID
0,1001,Star Wars: Episode IV - A New Hope,775398007,1977,Lucasfilm,PG,121.0,11000000.0,05-25-77,4.09,96233.0,101.0
1,1002,Star Wars: Episode V - The Empire Strikes Back,538375067,1980,Lucasfilm,PG,124.0,18000000.0,06-20-80,4.12,79231.0,101.0
2,1003,Star Wars: Episode VI - Return of the Jedi,475106177,1983,Lucasfilm,PG,135.0,32500000.0,05-25-83,3.98,76082.0,101.0
3,1004,Jurassic Park,1109802321,1993,Universal Pictures,PG-13,127.0,63000000.0,06-11-93,3.69,82700.0,102.0
4,1005,The Lost World: Jurassic Park,618638999,1997,Universal Pictures,PG-13,129.0,73000000.0,05-23-97,3.01,19721.0,102.0
5,1006,Star Wars: Episode I - The Phantom Menace,1027082707,1999,Lucasfilm,PG,136.0,115000000.0,05-19-99,3.08,40945.0,101.0
6,1007,Jurassic Park III,368780809,2001,Universal Pictures,PG-13,92.0,93000000.0,07-18-01,2.73,11927.0,102.0
7,1008,Harry Potter and the Sorcerer's Stone,1022290019,2001,Warner Bros.,PG,152.0,125000000.0,11-16-01,3.69,35511.0,103.0
8,1009,The Lord of the Rings: The Fellowship of the Ring,898094742,2001,WingNut Films,PG-13,179.0,93000000.0,12-18-01,4.1,78562.0,104.0
9,1010,Star Wars: Episode II - Attack of the Clones,653779970,2002,Lucasfilm,PG,142.0,120000000.0,05-15-02,3.03,28066.0,101.0
10,1011,Harry Potter and the Chamber of Secrets,879928511,2002,Warner Bros.,PG,161.0,100000000.0,11-13-02,3.65,30421.0,103.0
11,1012,The Lord of the Rings: The Two Towers,947896241,2002,WingNut Films,PG-13,179.0,79000000.0,12-18-02,4.08,72396.0,104.0
12,1013,The Lord of the Rings: The Return of the King,1146436214,2003,WingNut Films,PG-13,201.0,94000000.0,12-01-03,4.11,74190.0,104.0
13,1014,Harry Potter and the Prisoner of Azkaban,797660766,2004,Warner Bros.,PG,141.0,130000000.0,05-31-04,3.82,31820.0,103.0
14,1015,Star Wars: Episode III - Revenge of the Sith,868390560,2005,Lucasfilm,PG-13,140.0,113000000.0,05-17-05,3.39,25110.0,101.0
15,1016,Harry Potter and the Goblet of Fire,896730264,2005,Warner Bros.,PG-13,157.0,150000000.0,11-05-05,3.77,26589.0,103.0
16,1017,Harry Potter and the Order of the Phoenix,942201710,2007,Warner Bros.,PG-13,138.0,150000000.0,06-28-07,3.76,21355.0,103.0
17,1018,Iron Man,585796247,2008,Marvel Studios,PG-13,126.0,140000000.0,04-30-08,3.83,37533.0,105.0
18,1019,The Incredible Hulk,264770996,2008,Marvel Studios,PG-13,114.0,150000000.0,06-12-08,3.11,8016.0,105.0
19,1020,Harry Potter and the Half-Blood Prince,934483039,2009,Warner Bros.,PG,153.0,250000000.0,07-07-09,3.82,21266.0,103.0
20,1021,Iron Man 2,623933331,2010,Marvel Studios,PG-13,124.0,200000000.0,04-28-10,3.43,17381.0,105.0
21,1022,Harry Potter and the Deathly Hallows: Part 1,977070383,2010,Warner Bros.,PG-13,146.0,250000000.0,10-17-10,3.85,21185.0,103.0
22,1023,Thor,449326618,2011,Marvel Studios,PG-13,115.0,150000000.0,04-21-11,3.33,14629.0,105.0
23,1024,Harry Potter and the Deathly Hallows: Part 2,1342359942,2011,Warner Bros.,PG-13,130.0,125000000.0,07-07-11,3.9,20284.0,103.0
24,1025,Captain America: The First Avenger,370569774,2011,Marvel Studios,PG-13,124.0,140000000.0,07-22-11,3.48,13922.0,105.0
25,1026,The Avengers,1518815515,2012,Marvel Studios,PG-13,143.0,220000000.0,05-04-12,3.75,26866.0,105.0
26,1027,The Hobbit: An Unexpected Journey,1017030651,2012,WingNut Films,PG-13,169.0,250000000.0,11-26-12,3.63,16227.0,104.0
27,1028,Iron Man 3,1214811252,2013,Marvel Studios,PG-13,130.0,200000000.0,04-18-13,3.47,12723.0,105.0
28,1029,Thor: The Dark World,644783140,2013,Marvel Studios,PG-13,112.0,170000000.0,10-29-13,3.21,8243.0,105.0
29,1030,The Hobbit: The Desolation of Smaug,959027992,2013,WingNut Films,PG-13,161.0,250000000.0,12-11-13,3.59,12225.0,104.0
30,1031,Captain America: The Winter Soldier,714421503,2014,Marvel Studios,PG-13,136.0,170000000.0,03-20-14,3.69,13830.0,105.0
31,1032,Guardians of the Galaxy,773350147,2014,Marvel Studios,PG-13,121.0,170000000.0,07-30-14,3.92,26648.0,105.0
32,1033,The Hobbit: The Battle of the Five Armies,962201338,2014,WingNut Films,PG-13,144.0,250000000.0,12-10-14,3.48,8598.0,104.0
33,1034,Avengers: Age of Ultron,1402809540,2015,Marvel Studios,PG-13,141.0,280000000.0,04-22-15,3.5,12137.0,105.0
34,1035,Jurassic World,1671537444,2015,Universal Pictures,PG-13,124.0,150000000.0,06-09-15,3.28,8836.0,102.0
35,1036,Ant-Man,519311965,2015,Marvel Studios,PG-13,117.0,130000000.0,07-14-15,3.55,10473.0,105.0
36,1037,Star Wars: Episode VII - The Force Awakens,2069521700,2015,Lucasfilm,PG-13,136.0,306000000.0,12-18-15,3.65,19215.0,101.0
37,1038,Captain America: Civil War,1153337496,2016,Marvel Studios,PG-13,147.0,250000000.0,04-27-16,3.71,10900.0,105.0
38,1039,Doctor Strange,677796076,2016,Marvel Studios,PG-13,115.0,165000000.0,11-04-16,3.76,12081.0,105.0
39,1040,Rogue One: A Star Wars Story,1058682142,2016,Lucasfilm,PG-13,133.0,200000000.0,12-14-16,3.76,12351.0,101.0
40,1041,Guardians of the Galaxy Vol. 2,863756051,2017,Marvel Studios,PG-13,137.0,200000000.0,04-19-17,3.83,12931.0,105.0
