rank,title,world_gross,dom_gross,dom_perc,for_gr,for_perc,year
1,Avatar,2923706026,785221649,26.9,2138484377,73.1,2009
2,Avengers: Endgame,2799439100,858373000,30.7,1941066100,69.3,2019
3,Titanic,2194690964,659363944,30.0,1535327020,70.0,1997
4,Avatar: The Way of Water,2129714940,624614940,29.3,1505100000,70.7,2022
5,Star Wars: Episode VII - The Force Awakens,2071310218,936662225,45.2,1134647993,54.8,2015
6,Avengers: Infinity War,2052415039,678815482,33.1,1373599557,66.9,2018
7,Spider-Man: No Way Home,1921847111,814115070,42.4,1107732041,57.6,2021
8,Jurassic World,1671537444,653406625,39.1,1018130819,60.9,2015
9,The Lion King,1663075401,543638043,32.7,1119437358,67.3,2019
10,The Avengers,1520538536,623357910,41.0,897180626,59.0,2012
11,Furious 7,1515341399,353007020,23.3,1162334379,76.7,2015
12,Top Gun: Maverick,1488732821,718732821,48.3,770000000,51.7,2022
13,Frozen II,1453683476,477373578,32.8,976309898,67.2,2019
14,Avengers: Age of Ultron,1405018048,459005868,32.7,946012180,67.3,2015
15,Black Panther,1349926083,700426566,51.9,649499517,48.1,2018
16,Harry Potter and the Deathly Hallows: Part 2,1342359942,381447587,28.4,960912355,71.6,2011
17,Star Wars: Episode VIII - The Last Jedi,1334407706,620181382,46.5,714226324,53.5,2017
18,Jurassic World: Fallen Kingdom,1310466296,417719760,31.9,892746536,68.1,2018
19,Frozen,1284540518,400953009,31.2,883587509,68.8,2013
20,Beauty and the Beast,1266115964,504481165,39.8,761634799,60.2,2017
21,Incredibles 2,1243225667,608581744,49.0,634643923,51.0,2018
22,The Fate of the Furious,1236005118,226008385,18.3,1009996733,81.7,2017
23,Iron Man 3,1215577205,409013994,33.6,806563211,66.4,2013
24,Minions,1159444662,336045770,29.0,823398892,71.0,2015
25,Captain America: Civil War,1155046416,408084349,35.3,746962067,64.7,2016
26,Aquaman,1148528393,335104314,29.2,813424079,70.8,2018
27,The Lord of the Rings: The Return of the King,1146457748,378251207,33.0,768206541,67.0,2003
28,Spider-Man: Far from Home,1131927996,390532085,34.5,741395911,65.5,2019
29,Captain Marvel,1131416446,426829839,37.7,704586607,62.3,2019
30,Transformers: Dark of the Moon,1123794079,352390543,31.4,771403536,68.6,2011
31,Jurassic Park,1109802321,404214720,36.4,705587601,63.6,1993
32,Skyfall,1108569499,304360277,27.5,804209222,72.5,2012
33,Transformers: Age of Extinction,1104054072,245439076,22.2,858614996,77.8,2014
34,The Dark Knight Rises,1081169825,448149584,41.4,633020241,58.6,2012
35,Star Wars: Episode IX - The Rise of Skywalker,1077022372,515202542,47.8,561819830,52.2,2019
36,Joker,1074458282,335477657,31.2,738980625,68.8,2019
37,Toy Story 4,1073841394,434038008,40.4,639803386,59.6,2019
38,Toy Story 3,1067316101,415004880,38.9,652311221,61.1,2010
39,Pirates of the Caribbean: Dead Man's Chest,1066179747,423315812,39.7,642863935,60.3,2006
40,Rogue One: A Star Wars Story,1058682142,533539991,50.4,525142151,49.6,2016
41,Aladdin,1054304000,355559216,33.7,698744784,66.3,2019
42,Pirates of the Caribbean: On Stranger Tides,1046721266,241071802,23.0,805649464,77.0,2011
43,Despicable Me 3,1034800131,264624300,25.6,770175831,74.4,2017
44,Finding Dory,1029266989,486295561,47.2,542971428,52.8,2016
45,Star Wars: Episode I - The Phantom Menace,1027082707,474544677,46.2,552538030,53.8,1999
46,Zootopia,1025521689,341268248,33.3,684253441,66.7,2016
47,Alice in Wonderland,1025468216,334191110,32.6,691277106,67.4,2010
48,Harry Potter and the Sorcerer's Stone,1023842938,318886962,31.2,704955976,68.8,2001
49,The Hobbit: An Unexpected Journey,1017030651,303030651,29.8,714000000,70.2,2012
50,The Dark Knight,1006234167,534987076,53.2,471247091,46.8,2008
51,Jurassic World: Dominion,1001978080,376851080,37.6,625127000,62.4,2022
52,Jumanji: Welcome to the Jungle,995339117,404540171,40.6,590798946,59.4,2017
53,Harry Potter and the Deathly Hallows: Part 1,977070383,296374621,30.3,680695762,69.7,2010
54,Despicable Me 2,970766005,368065385,37.9,602700620,62.1,2013
55,The Lion King,968511805,422783777,43.6,545728028,56.4,1994
56,The Jungle Book,967724775,364001123,37.6,603723652,62.4,2016
57,The Hobbit: The Battle of the Five Armies,962201338,255138261,26.5,707063077,73.5,2014
58,Pirates of the Caribbean: At World's End,961691209,309420425,32.2,652270784,67.8,2007
59,The Hobbit: The Desolation of Smaug,959027992,258387334,26.9,700640658,73.1,2013
60,Doctor Strange in the Multiverse of Madness,955775804,411331607,43.0,544444197,57.0,2022
61,The Lord of the Rings: The Two Towers,947944270,342952511,36.2,604991759,63.8,2002
62,Harry Potter and the Order of the Phoenix,942278045,292382727,31.0,649895318,69.0,2007
63,Finding Nemo,941637960,380843261,40.4,560794699,59.6,2003
64,Minions: The Rise of Gru,939628210,369695210,39.3,569933000,60.7,2022
65,Harry Potter and the Half-Blood Prince,934504700,302334374,32.4,632170326,67.6,2009
66,Shrek 2,928760770,441226247,47.5,487534523,52.5,2004
67,Harry Potter and the Chamber of Secrets,925054421,262641637,28.4,662412784,71.6,2002
68,Bohemian Rhapsody,910809311,216668042,23.8,694141269,76.2,2018
69,The Battle at Lake Changjin,902548476,342411,0.1,902206065,100.0,2021
70,The Lord of the Rings: The Fellowship of the Ring,898204420,316115420,35.2,582089000,64.8,2001
71,Harry Potter and the Goblet of Fire,896815106,290469928,32.4,606345178,67.6,2005
72,Spider-Man 3,894983373,336530303,37.6,558453070,62.4,2007
73,The Secret Life of Pets,894328469,368384330,41.2,525944139,58.8,2016
74,Ice Age: Dawn of the Dinosaurs,886686817,196573705,22.2,690113112,77.8,2009
75,Spectre,880705312,200074609,22.7,680630703,77.3,2015
76,Spider-Man: Homecoming,880166924,334201140,38.0,545965784,62.0,2017
77,Ice Age: Continental Drift,877244782,161321843,18.4,715922939,81.6,2012
78,Batman v Superman: Dawn of Justice,873637528,330360194,37.8,543277334,62.2,2016
79,Wolf Warrior 2,870325439,2721100,0.3,867604339,99.7,2017
80,Star Wars: Episode III - Revenge of the Sith,868390560,380270577,43.8,488119983,56.2,2005
81,The Hunger Games: Catching Fire,865011746,424668047,49.1,440343699,50.9,2013
82,Guardians of the Galaxy Vol. 2,863756051,389813101,45.1,473942950,54.9,2017
83,Inside Out,858848019,356921711,41.6,501926308,58.4,2015
84,Venom,856085151,213515506,24.9,642569645,75.1,2018
85,Thor: Ragnarok,855301806,315058289,36.8,540243517,63.2,2017
