SL,"Top trending topics 
name","Top trending topics 
Score","Top search trends 
topics","Top search trends 
Volume","Top Marketing trends 
topics","Top Marketing trends 
Score","Top Real Estate trends 
topics","Top Real Estate trends 
Score","Top Ecommerce trends
topic","Top Ecommerce trends 
Score","Top Investment trends 
topics ","Top Investment trends 
Score"," Top Small business trends 
topics"," Top Small business trends 
Score","Top Healthcare trends  
topics",Top Healthcare trends Score,"Top Travel trends 
topics ","Top Travel trends 
Score"
1,walmart,100,humane society,498022,google marketing,100,sale real estate,100,wordpress ecommerce,100,investment news,100,free website for small business,100,zo skin health,100,travel channel,100
2,home depot,66,oscar isaac,497333,affiliate marketing,95,real estate usa,79,squarespace ecommerce,49,fidelity investments,83,small business administrator,58,united health care,24,travelocity,57
3,amazon prime,43,netflix stock,497333,google marketing platform,84,real estate websites,64,shopify ecommerce,49,cryptocurrency investments,57,free website builder for small business,50,united healthcare,21,travel website,29
4,best buy,35,abraham lincoln,497179,what is marketing management,75,real estate for sale,50,dhl ecommerce,38,investment calculator,54,small business loans,45,mental health therapists near me,21,travel booking,21
5,old navy,35,national car rental,497000,digital marketing course,73,real estate companies near me,27,ecommerce business,31,sec investment advisor search,49,best free website builder for small business,42,mental health therapy,17,travel sites,19
6,etsy,31,at home covid test,496722,branding in marketing,72,colorado real estate,23,what is ecommerce,24,investment broker,44,small business news,40,public health services,13,costco travel,15
7,covid vaccine near me,31,khloé kardashian,496375,digital marketing,70,real estate agency near me,15,ecommerce website,20,investment property for sale,37,small business for sale,39,healthline,13,gov uk travel,12
8,h&m,29,target baby registry,495375,hubspot marketing,48,real estate broker near me,14,ecommerce store,16,rental property investment,36,small business assistance,37,world health organization covid,12,travel state gov,10
9,nfl scores,28,north carolina,495189,email marketing software,45,real estate agent,13,ecommerce company,15,art investment,31,small business saturday 2020,36,world health organization latest news,11,booking travel,9
10,canva,28,chili recipe,495187,social media marketing,38,real estate licenses,11,ecommerce platform,15,cryptocurrency investment,30,grants for small businesses,35,health and human services agency,11,travelers insurance,8
11,google maps,28,colin powell,495000,international marketing,36,commercial real estate,10,ecommerce platforms,13,investment advisor search,29,small business grants,35,national health institute,11,travel restrictions by country,7
12,google classroom,27,anthony davis,494600,email marketing platforms,32,real estate agencies,10,ecommerce business for sale,13,investment activities,28,small business administration,31,mental health therapy near me,10,travel advisory,6
13,speed test,27,paris hilton,494526,free email marketing,29,licensed real estate,9,ecommerce websites,12,crowdfunding investment,27,small business administration loan,29,healthiest snack,10,travel leisure,6
14,instagram lite,27,julia garner,494000,digital marketing agency,28,real estate agent job description,9,ecommerce website development,8,investment app,27,small business loan,28,healthy snacking,9,state department travel,6
15,framed jerseys,26,camila cabello,494000,marketing jobs,27,coldwell banker real estate listings,9,ecommerce website builder,7,investment firms near me,24,small business ideas,24,healthier foods,8,safe travels hawaii,6
16,party city,26,elizabeth warren,493214,affiliate marketing amazon,24,real estate licensee,8,ecommerce companies,6,investment properties,23,small business grant,23,health and human services commission,8,cdc travel advisory map,6
17,bank of america,26,miles teller,493000,influencer marketing agency,23,real estate broker,8,ecommerce website free,5,investments in stocks,21,small business insurance,21,aya healthcare,7,state department travel advisory covid,5
